,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
1,Salvatore Ferragamo,Heels,$127.20,"1,299",13.00%,24.00%,43.30%,75.30%,87.50%,88.10%,88.10%
2,Jimmy Choo,Heels,$184.40,"1,261",14.40%,23.70%,40.40%,75.10%,85.20%,85.70%,85.70%
3,Salvatore Ferragamo,Flats,$130.00,"1,122",18.40%,31.10%,49.80%,79.40%,88.40%,88.70%,88.70%
4,Longchamp,Tote,$82.85,"1,056",88.50%,93.70%,95.30%,96.30%,96.50%,96.50%,96.50%
5,Manolo Blahnik,Heels,$180.80,908,21.10%,33.80%,51.20%,79.40%,88.30%,88.50%,88.50%
6,Golden Goose,Sneakers,$247.64,748,30.70%,47.10%,62.20%,86.60%,90.00%,90.00%,90.00%
7,Tod's,Flats,$139.61,741,13.40%,24.40%,44.50%,77.20%,86.20%,86.50%,86.50%
8,Christian Louboutin,Heels,$262.48,728,32.80%,48.90%,66.30%,86.40%,90.20%,90.20%,90.20%
9,Gucci,Sunglasses,$189.27,728,32.10%,45.10%,65.80%,85.30%,88.20%,88.20%,88.20%
10,Self-Portrait,Cocktail Dress,$219.85,704,11.60%,22.40%,36.40%,72.90%,83.90%,84.50%,84.50%
11,Prada,Heels,$194.63,664,14.80%,27.30%,43.50%,76.20%,86.40%,86.40%,86.40%
12,Marc Jacobs,Leather Crossbody Bag,$137.25,638,29.00%,47.60%,65.50%,86.10%,90.10%,90.30%,90.30%
13,Fjällräven,Backpack,$40.04,630,86.00%,93.30%,96.00%,96.80%,97.10%,97.10%,97.10%
14,Louis Vuitton,Wallet,$277.63,517,15.10%,21.90%,33.80%,76.80%,90.90%,90.90%,90.90%
15,Herve Leger,Cocktail Dress,$256.57,507,15.60%,27.60%,39.80%,75.10%,85.80%,85.80%,85.80%
16,Zimmermann,Cocktail Dress,$401.28,492,19.50%,31.50%,48.20%,79.70%,89.20%,89.20%,89.20%
17,Gucci,Heels,$246.95,482,15.40%,27.00%,39.80%,75.70%,84.60%,84.60%,84.60%
