,Name,Average Price At Listing,COUNT of items,SELL THRU % items sold in 7 listing days,SELL THRU % items sold in 14 listing days,SELL THRU % items sold in 30 listing Days,SELL THRU % items sold in 3 listing months,SELL THRU % items sold in 6 listing months,SELL THRU % items sold in 9 listing months,SELL THRU % items sold in 12 listing months
1,Burberry,$216.68,"6,602",28.5%,40.8%,56.3%,80.6%,86.4%,86.6%,86.6%
2,Gucci,$293.29,"5,786",24.0%,34.9%,49.8%,79.3%,86.5%,86.6%,86.6%
3,Prada,$251.40,"4,185",19.4%,30.3%,45.6%,77.0%,84.9%,85.0%,85.0%
4,Louis Vuitton,$450.08,"3,374",18.8%,27.9%,42.0%,79.8%,87.3%,87.3%,87.3%
5,Chloé,$236.42,"2,281",14.2%,24.1%,37.9%,71.0%,82.5%,82.8%,82.9%
6,Chanel,$547.99,"1,854",22.3%,30.7%,44.5%,79.4%,85.8%,85.9%,85.9%
7,Zimmermann,$287.57,"1,802",22.0%,32.1%,46.2%,76.7%,86.5%,86.5%,86.5%
8,Dolce & Gabbana,$254.64,"1,796",16.5%,26.7%,40.8%,72.4%,82.6%,83.1%,83.1%
9,Fendi,$297.62,"1,485",15.4%,24.8%,38.2%,72.9%,83.0%,83.4%,83.4%
10,Christian Dior,$278.66,"1,466",19.2%,28.7%,42.0%,73.4%,82.1%,82.5%,82.5%
11,Céline,$287.43,"1,283",13.4%,22.0%,33.7%,68.1%,82.9%,82.9%,83.1%
12,Jimmy Choo,$184.38,"1,249",12.5%,23.5%,42.4%,80.6%,94.6%,95.4%,95.4%
13,Christian Louboutin,$295.34,"1,248",28.3%,43.1%,59.0%,82.8%,88.1%,88.1%,88.1%
14,Self-Portrait,$198.49,"1,214",13.7%,24.4%,38.7%,71.6%,81.8%,82.3%,82.3%
15,Acne Studios,$134.00,"1,065",19.7%,28.8%,43.8%,66.2%,75.9%,77.0%,77.3%
16,Miu Miu,$237.17,"1,025",14.0%,23.9%,37.8%,71.6%,83.4%,83.6%,83.6%
17,Stella McCartney,$149.70,"1,000",13.8%,23.9%,43.1%,73.9%,93.3%,94.7%,95.1%
18,Saint Laurent,$329.08,999,17.5%,27.1%,40.7%,74.0%,84.2%,84.4%,84.4%
19,Air Jordan,$88.17,961,33.5%,51.8%,73.3%,83.6%,86.0%,86.0%,86.0%
20,Bottega Veneta,$364.40,927,9.0%,15.3%,26.2%,65.8%,78.5%,78.6%,78.6%
21,Balenciaga,$283.21,911,13.3%,20.5%,32.8%,68.1%,79.5%,80.4%,80.4%
22,Golden Goose,$238.57,904,29.6%,44.8%,59.1%,84.5%,88.7%,88.9%,88.9%
23,Versace,$264.94,858,20.2%,30.7%,42.3%,72.1%,83.4%,84.0%,84.0%
24,Valentino Garavani,$294.35,843,12.7%,21.9%,34.8%,70.8%,82.6%,82.8%,82.8%
25,Hermès,$404.41,801,24.8%,34.3%,46.6%,80.4%,86.1%,86.3%,86.3%
26,Yves Saint Laurent,$246.76,725,17.4%,26.5%,40.6%,72.1%,84.1%,84.1%,84.1%
27,Givenchy,$265.15,720,11.1%,18.3%,29.7%,66.3%,77.8%,78.5%,78.6%
28,Valentino,$299.61,692,13.9%,21.7%,36.4%,67.2%,79.0%,79.6%,79.8%
29,Herve Leger,$237.65,654,14.8%,25.4%,37.6%,71.7%,83.2%,83.3%,83.3%
30,MCM,$261.88,550,16.7%,27.8%,40.9%,77.5%,85.3%,85.6%,85.6%
31,Moncler,$323.23,497,25.8%,35.2%,46.3%,77.9%,84.5%,85.5%,85.5%
32,The Row,$361.67,488,12.7%,19.3%,31.1%,66.6%,80.9%,81.8%,81.8%
33,Moschino,$149.60,432,14.1%,21.1%,32.4%,62.3%,75.2%,76.4%,76.4%
34,Yves Saint Laurent Rive Gauche,$219.77,423,18.7%,27.0%,36.6%,69.3%,83.0%,84.2%,84.2%
35,Manolo Blahnik,$177.28,418,18.2%,31.8%,51.0%,83.5%,95.2%,95.9%,95.9%
36,Loewe,$352.08,380,18.2%,28.4%,40.5%,73.7%,81.8%,81.8%,81.8%
37,Telfar,$144.77,353,33.7%,48.4%,60.9%,77.3%,89.8%,90.1%,90.1%
38,Play Comme Des Garçons,$76.89,353,28.6%,53.5%,74.8%,87.3%,90.9%,90.9%,90.9%
39,ESSENTIALS Fear of God ,$61.39,309,51.1%,62.8%,74.1%,84.8%,88.3%,88.3%,88.3%
40,Canada Goose,$345.95,277,63.2%,71.5%,81.2%,91.7%,93.9%,93.9%,93.9%
41,VALENTINO By Mario Valentino,$120.25,252,38.5%,55.2%,71.8%,85.3%,88.9%,88.9%,88.9%
42,Totême,$241.38,251,26.3%,31.9%,45.0%,66.5%,76.9%,76.9%,76.9%
43,OFF-WHITE,$224.75,242,10.7%,16.9%,30.2%,55.0%,69.0%,69.8%,69.8%
44,Jacquemus,$231.06,228,21.9%,31.6%,44.3%,67.5%,78.1%,79.4%,79.4%
45,Balmain,$351.09,225,23.1%,32.4%,44.9%,72.4%,78.7%,79.6%,79.6%
46,Adidas x Yeezy,$128.42,223,14.3%,23.8%,36.8%,63.7%,75.3%,77.6%,77.6%
47,Gianni Versace,$239.67,222,8.6%,14.9%,27.0%,65.8%,77.5%,78.4%,78.4%
48,Burberry Blue Label,$169.53,216,38.0%,50.0%,69.0%,87.5%,90.7%,90.7%,90.7%
49,Supreme,$84.25,211,53.6%,69.2%,82.9%,92.4%,94.3%,94.3%,94.3%
50,Dior,$239.61,207,24.2%,31.9%,45.4%,67.6%,76.3%,78.3%,78.3%
51,Acne,$109.89,197,11.7%,19.8%,35.5%,64.0%,74.1%,76.6%,76.6%
52,Assorted Brands,$20.44,192,30.7%,41.1%,58.9%,69.8%,76.6%,78.1%,78.1%
53,Mulberry,$306.81,160,27.5%,36.3%,48.1%,78.1%,86.3%,86.3%,86.3%
54,Gucci Outlet,$372.45,160,9.4%,17.5%,36.9%,74.4%,80.0%,80.0%,80.0%
55,Comme des Garçons play x Converse,$71.84,154,46.8%,63.0%,79.9%,92.2%,92.9%,93.5%,93.5%
56,Cat & Jack,$7.80,143,25.9%,41.3%,61.5%,81.1%,86.0%,86.0%,86.0%
57,Loro Piana,$356.08,116,21.6%,31.0%,39.7%,50.9%,50.9%,50.9%,50.9%
58,Boutique Moschino,$153.55,109,7.3%,11.9%,22.9%,47.7%,63.3%,67.0%,67.0%
59,Stussy,$62.89,108,38.0%,49.1%,72.2%,88.9%,91.7%,91.7%,91.7%
60,Vivienne Westwood,$188.63,107,56.1%,67.3%,75.7%,87.9%,89.7%,89.7%,89.7%
61,Chanel Boutique,$607.06,103,15.5%,22.3%,29.1%,72.8%,81.6%,81.6%,81.6%
62,Dsquared2,$198.66,98,7.1%,16.3%,34.7%,60.2%,79.6%,79.6%,79.6%
63,Unbranded,$15.90,98,35.7%,51.0%,58.2%,69.4%,74.5%,76.5%,76.5%
64,Anti Social Social Club,$63.48,86,36.0%,52.3%,69.8%,87.2%,89.5%,89.5%,89.5%
65,Burberry Prorsum,$277.83,84,22.6%,29.8%,45.2%,75.0%,85.7%,85.7%,86.9%
66,Moschino Couture ,$220.32,79,13.9%,16.5%,27.8%,48.1%,53.2%,54.4%,54.4%
67,Comme des Garçons ,$142.82,76,30.3%,44.7%,61.8%,81.6%,85.5%,86.8%,86.8%
68,Rick Owens,$293.95,65,13.8%,24.6%,35.4%,67.7%,73.8%,73.8%,73.8%
69,Palm Angels,$182.69,61,8.2%,8.2%,19.7%,54.1%,70.5%,73.8%,73.8%
70,HERVE by Herve Leger,$77.26,59,5.1%,11.9%,22.0%,40.7%,59.3%,59.3%,59.3%
71,Christian Dior Boutique,$334.11,55,18.2%,27.3%,45.5%,80.0%,85.5%,85.5%,85.5%
72,GOLF,$55.45,53,9.4%,24.5%,47.2%,75.5%,86.8%,86.8%,88.7%
73,Vivienne Westwood Anglomania,$196.69,53,39.6%,47.2%,66.0%,88.7%,88.7%,88.7%,88.7%
74,Blå Konst Acne Studios,$85.80,52,11.5%,15.4%,32.7%,40.4%,44.2%,44.2%,44.2%
75,Valentino Miss V,$142.57,47,4.3%,17.0%,23.4%,53.2%,55.3%,57.4%,57.4%
76,A Bathing Ape,$143.06,45,22.2%,28.9%,40.0%,75.6%,82.2%,88.9%,88.9%
77,Christian Dior Separates,$145.74,44,11.4%,20.5%,43.2%,65.9%,77.3%,77.3%,77.3%
78,Fendi Selleria,$389.62,39,2.6%,10.3%,17.9%,64.1%,74.4%,74.4%,74.4%
79,Polène ,$343.00,38,81.6%,89.5%,89.5%,92.1%,92.1%,92.1%,92.1%
80,Songmont,$271.54,35,54.3%,62.9%,77.1%,82.9%,82.9%,82.9%,82.9%
81,Thom Browne,$372.88,35,31.4%,34.3%,45.7%,74.3%,80.0%,80.0%,80.0%
82,Burberry Golf,$73.80,34,35.3%,44.1%,64.7%,70.6%,70.6%,70.6%,70.6%
83,Lemaire,$214.99,33,33.3%,48.5%,69.7%,81.8%,84.8%,84.8%,84.8%
84,Bao Bao Issey Miyake,$326.52,31,38.7%,48.4%,64.5%,83.9%,83.9%,83.9%,83.9%
85,Dolce Vita,$42.87,31,9.7%,22.6%,48.4%,80.6%,83.9%,83.9%,83.9%
86,Mario Valentino,$83.22,29,44.8%,58.6%,69.0%,79.3%,89.7%,89.7%,89.7%
87,Lululemon Athletica,$56.95,28,42.9%,60.7%,64.3%,75.0%,78.6%,78.6%,78.6%
88,Yeezy,$167.07,27,25.9%,40.7%,51.9%,77.8%,85.2%,85.2%,85.2%
89,WELLDONE,$150.36,26,3.8%,3.8%,11.5%,38.5%,69.2%,76.9%,76.9%
90,We11done,$149.22,25,0.0%,0.0%,8.0%,36.0%,44.0%,72.0%,72.0%
91,Valentina,$26.24,25,56.0%,72.0%,92.0%,96.0%,96.0%,96.0%,96.0%
