brand_name,category_name,quality_code,count_items_per_category,avg_erp,avg_listed_price,avg_sold_price
S Max Mara,Blazer,Q1,4,991.75,171.99,154.41
S Max Mara,Casual Dress,Q1,4,742,156.49,137.07
S Max Mara,Casual Dress,Q2,13,570.07,110.1,99.64
S Max Mara,Casual Dress,Q3,3,432,87.41,71.24
S Max Mara,Coat,Q1,1,1690,371.74,371.74
S Max Mara,Coat,Q2,1,851,136.74,136.74
S Max Mara,Coat,Q3,1,851,136.74,136.74
S Max Mara,Cocktail Dress,Q3,2,383,78.74,null
S Max Mara,Faux Fur Jacket,Q2,1,695,166.74,null
S Max Mara,Jacket,Q2,1,1300,null,null
S Max Mara,Long Sleeve Blouse,Q1,1,590,117.74,null
S Max Mara,Sweater Vest,Q3,1,255,68.74,66.74
S Max Mara,Trenchcoat,Q1,1,851,161.74,null
S Max Mara,Trenchcoat,Q2,1,851,161.74,161.74
S Max Mara,Trenchcoat,Q3,1,1300,208.74,208.74
S Max Mara,Vest,Q2,1,316,53.74,53.74
S Max Mara,Wool Blazer,Q1,1,840,252.74,252.74
S Max Mara,Wool Coat,Q1,2,851,200.74,200.74
S Max Mara,Wool Coat,Q2,1,851,187.74,187.74
A New Day,Sandals,Q2,1,24,11.74,null
Adidas Stella McCartney,Active Tank,Q2,1,86,28.74,28.74
Adidas Stella McCartney,Sneakers,Q2,5,246,66.14,62.49
Adidas Stella McCartney,Sneakers,Q3,1,246,49.74,49.74
Adidas Stella McCartney,Sweatshirt,Q2,1,107,22.74,22.74
Adidas Stella McCartney,Track Pants,Q2,1,128,34.74,34.74
Aeropostale,Pullover Sweater,Q1,1,32,11.74,null
Aime Leon Dore,Active Tank,Q2,2,80,55.24,null
Aime Leon Dore,Baseball Cap,Q1,2,125,97.74,97.74
Aime Leon Dore,Baseball Cap,Q3,1,38,10.74,10.74
Aime Leon Dore,Cargo Pants,Q3,1,295,135.74,135.74
Aime Leon Dore,Casual Pants,Q2,1,225,65.74,65.74
Aime Leon Dore,Denim Jacket,Q1,1,595,178.74,178.74
Aime Leon Dore,Hat,Q1,1,65,64.74,null
Aime Leon Dore,Hat,Q2,1,500,104.74,104.74
Aime Leon Dore,Jacket,Q1,1,395,284.74,284.74
Aime Leon Dore,Leather Card Holder,Q2,1,120,60.74,60.74
Aime Leon Dore,Long Sleeve T-Shirt,Q2,2,105,35.74,35.74
Aime Leon Dore,Long Sleeve Turtleneck,Q2,1,95,36.74,36.74
Aime Leon Dore,Mule/Clog,Q3,1,95,28.74,null
Aime Leon Dore,Pullover Hoodie,Q1,1,229,null,null
Aime Leon Dore,Pullover Hoodie,Q2,1,185,55.74,null
Aime Leon Dore,Pullover Sweater,Q1,1,175,70.74,70.74
Aime Leon Dore,Pullover Sweater,Q3,1,845,194.74,null
Aime Leon Dore,Short Sleeve T-Shirt,Q2,1,130,45.74,45.74
Aime Leon Dore,Short Sleeve T-Shirt,Q3,1,85,44.74,44.74
Aime Leon Dore,Short Sleeve Turtleneck,Q2,1,95,22.74,22.74
Aime Leon Dore,Sweatshirt,Q1,2,174.5,98.74,null
Aime Leon Dore,Sweatshirt,Q2,4,287.5,95.99,87.74
Aime Leon Dore,Sweatshirt,Q3,2,175,71.74,67.74
Aime Leon Dore,Winter Hat,Q2,1,150,132.74,null
Aimee Kestenberg,Leather Crossbody Bag,Q2,1,229,69.74,70.74
Alaïa,Active Pants,Q2,1,4210,252.74,0
Alaïa,Ankle Boots,Q1,1,1400,224.74,null
Alaïa,Ankle Boots,Q2,5,1128.4,198.49,225.74
Alaïa,Ankle Boots,Q3,3,1561.67,166.74,185.74
Alaïa,Bodysuit,Q2,2,1449,312.74,312.74
Alaïa,Bodysuit,Q3,1,790,221.74,210.74
Alaïa,Boots,Q2,1,375,45.74,45.74
Alaïa,Boots,Q3,1,1850,203.74,null
Alaïa,Cashmere Pullover Sweater,Q2,1,2490,448.74,448.74
Alaïa,Casual Pants,Q2,1,1850,222.74,222.74
Alaïa,Cocktail Dress,Q1,1,2200,1104.74,null
Alaïa,Cocktail Dress,Q2,1,1200,263.74,263.74
Alaïa,Flats,Q2,4,1125,445.74,483.41
Alaïa,Formal Skirt,Q1,1,1900,534.74,null
Alaïa,Formal Skirt,Q2,2,1700,329.74,null
Alaïa,Formal Skirt,Q3,1,1400,210.74,null
Alaïa,Gloves,Q1,1,560,364.74,364.74
Alaïa,Heels,Q2,7,1293.57,242.57,372.24
Alaïa,Heels,Q3,4,1460,233.74,null
Alaïa,Leather Satchel,Q1,1,2190,null,null
Alaïa,Leather Tote,Q2,1,2750,1379.74,null
Alaïa,Makeup Bag,Q2,1,1300,285.74,null
Alaïa,Poncho,Q2,1,2490,373.74,355.74
Alaïa,Sandals,Q1,2,800,415.24,446.74
Alaïa,Sandals,Q2,5,971.8,252.07,290.24
