item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
211773548,'S Max Mara,Blazer,Q1,965.0,164.74,164.74
212252469,'S Max Mara,Blazer,Q1,851.0,152.74,136.74
208414603,'S Max Mara,Blazer,Q1,851.0,161.74,161.74
208619134,'S Max Mara,Blazer,Q2,851.0,187.74,167.74
212495608,'S Max Mara,Casual Dress,Q1,138.0,35.74,35.74
215026980,'S Max Mara,Casual Dress,Q1,875.0,183.74,183.74
212660804,'S Max Mara,Casual Dress,Q1,530.0,116.74,220.74
212074423,'S Max Mara,Casual Dress,Q1,765.0,191.74,191.74
217244720,'S Max Mara,Casual Dress,Q1,760.0,222.74,222.74
212541057,'S Max Mara,Casual Dress,Q1,138.0,104.74,104.74
208673726,'S Max Mara,Casual Dress,Q2,383.0,151.74,0.0
212029465,'S Max Mara,Casual Dress,Q2,383.0,72.74,72.74
208896170,'S Max Mara,Casual Dress,Q2,383.0,72.74,72.74
208896170,'S Max Mara,Casual Dress,Q2,383.0,72.74,72.74
216949029,'S Max Mara,Casual Dress,Q2,795.0,151.74,151.74
209652917,'S Max Mara,Casual Dress,Q2,795.0,151.74,74.74
210892141,'S Max Mara,Casual Dress,Q2,383.0,81.74,35.74
207592934,'S Max Mara,Casual Dress,Q2,383.0,180.74,180.74
207162016,'S Max Mara,Casual Dress,Q2,383.0,72.74,72.74
209049321,'S Max Mara,Casual Dress,Q2,795.0,158.74,158.74
212997423,'S Max Mara,Casual Dress,Q2,530.0,95.74,95.74
206442961,'S Max Mara,Casual Dress,Q2,383.0,72.74,72.74
211342372,'S Max Mara,Casual Dress,Q2,795.0,151.74,151.74
206871404,'S Max Mara,Casual Dress,Q3,178.0,44.74,44.74
209058939,'S Max Mara,Casual Dress,Q3,383.0,72.74,69.74
210164818,'S Max Mara,Casual Dress,Q3,383.0,72.74,72.74
208414730,'S Max Mara,Coat,Q1,1690.0,371.74,371.74
214602079,'S Max Mara,Coat,Q2,851.0,136.74,136.74
208828638,'S Max Mara,Coat,Q3,851.0,136.74,136.74
212990585,'S Max Mara,Cocktail Dress,Q3,383.0,84.74,84.74
211807273,'S Max Mara,Long Sleeve Blouse,Q1,590.0,117.74,117.74
210818870,'S Max Mara,Pullover Sweater,Q2,255.0,87.74,76.74
207292534,'S Max Mara,Sweater Vest,Q3,255.0,68.74,66.74
208885098,'S Max Mara,Trenchcoat,Q1,1990.0,418.74,378.74
209427545,'S Max Mara,Trenchcoat,Q1,1690.0,371.74,0.0
214339503,'S Max Mara,Trenchcoat,Q2,851.0,161.74,161.74
207480714,'S Max Mara,Trenchcoat,Q3,1300.0,208.74,208.74
205986802,'S Max Mara,Vest,Q2,316.0,53.74,53.74
207231075,'S Max Mara,Wool Blazer,Q1,840.0,252.74,252.74
213163118,'S Max Mara,Wool Coat,Q1,851.0,178.74,178.74
210215439,'S Max Mara,Wool Coat,Q1,851.0,222.74,222.74
213509664,'S Max Mara,Wool Coat,Q2,851.0,187.74,187.74
209916033,Adidas Stella McCartney,Active Tank,Q2,86.0,28.74,28.74
216724583,Adidas Stella McCartney,Backpack,Q1,139.0,70.74,70.74
208756507,Adidas Stella McCartney,Casual Pants,Q1,178.0,45.74,45.74
