brand_name,category_name,quality_code,count_items_per_category,avg_erp,avg_listed_price,avg_sold_price
A Bathing Ape,Active T-Shirt,Q1,1,198,142.74,142.74
A Bathing Ape,Long Sleeve T-Shirt,Q1,1,153,null,null
A Bathing Ape,Long Sleeve T-Shirt,Q2,2,153,null,null
A Bathing Ape,Romper,Q1,1,398,123.74,null
A Bathing Ape,Short Sleeve T-Shirt,Q1,3,137.5,116.74,116.74
A Bathing Ape,Short Sleeve T-Shirt,Q2,5,103.8,89.34,96.74
A Bathing Ape,Short Sleeve T-Shirt,Q3,1,100,80.74,null
A Bathing Ape,Sweatshirt,Q2,1,275,148.74,148.74
A Bathing Ape,Sweatshirt,Q3,1,200,65.74,65.74
A Bathing Ape,Track Jacket,Q3,1,385,165.74,null
A Bathing Ape,Zip Up Hoodie,Q2,3,336.67,236.74,0
A Bathing Ape,Zip Up Hoodie,Q3,1,429,111.74,111.74
A New Day,Casual Pants,Q2,1,40,8.74,8.74
ADER error,Cardigan,Q2,1,360,183.74,null
ADER error,Crossbody Bag,Q2,1,382,null,null
ADER error,Denim Shorts,Q2,1,320,51.74,51.74
ADER error,Dress Pants,Q1,1,270,108.74,108.74
ADER error,Dress Pants,Q2,1,450,85.74,85.74
ADER error,Long Sleeve T-Shirt,Q1,1,230,160.74,160.74
ADER error,Pullover Sweater,Q2,1,250,75.74,null
ADER error,Sleeveless T-Shirt,Q2,1,130,39.74,39.74
ADER error,Sneakers,Q2,1,346,235.74,null
ADER error,Sweatshirt,Q1,1,225,123.74,123.74
ADER error,Zip Up Hoodie,Q1,1,395,240.74,null
AGOLDE,Jeans,Q2,1,178,32.74,null
Aape by A Bathing Ape,Baseball Cap,Q2,1,55,35.74,35.74
Aape by A Bathing Ape,Jacket,Q3,1,300,123.74,123.74
Aape by A Bathing Ape,Pullover Hoodie,Q2,1,115,113.74,108.74
Aape by A Bathing Ape,Short Sleeve T-Shirt,Q1,3,71.33,59.74,59.74
Aape by A Bathing Ape,Short Sleeve T-Shirt,Q2,1,130,74.74,null
Aape by A Bathing Ape,Short Sleeve T-Shirt,Q3,1,65,37.74,null
Aape by A Bathing Ape,Sweatshirt,Q2,2,182.5,145.74,null
Aape by A Bathing Ape,Zip Up Hoodie,Q1,1,275,272.74,272.74
Aape by A Bathing Ape,Zip Up Hoodie,Q2,3,208.33,138.74,147.74
Aape by A Bathing Ape,Zip Up Hoodie,Q3,1,300,123.74,123.74
Acne,3/4 Sleeve Blouse,Q3,1,670,46.74,46.74
Acne,3/4 Sleeve Top,Q2,1,600,90.74,90.74
Acne,Ankle Boots,Q2,2,825,138.24,null
Acne,Ankle Boots,Q3,3,586.67,125.07,135.74
Acne,Blazer,Q3,1,1050,178.74,0
Acne,Boots,Q1,1,1150,218.74,218.74
Acne,Boots,Q3,1,1000,199.74,null
Acne,Casual Dress,Q2,3,700,209.24,null
Acne,Casual Dress,Q3,2,660,151.24,140.74
Acne,Casual Skirt,Q2,1,435,117.74,117.74
Acne,Cocktail Dress,Q1,1,382,null,null
Acne,Cocktail Dress,Q2,3,591.67,142.74,0
Acne,Formal Skirt,Q2,1,700,146.74,null
Acne,Jacket,Q1,1,382,null,null
Acne,Jacket,Q2,1,965,183.74,183.74
Acne,Jeans,Q1,2,500,133.24,null
Acne,Jeans,Q2,17,424.82,73.34,75.29
Acne,Jeans,Q3,2,327,53.74,null
Acne,Leather Jacket,Q3,1,3100,619.74,null
Acne,Long Sleeve Button-Down Shirt,Q2,1,615,122.74,122.74
Acne,Long Sleeve Henley,Q3,1,320,44.74,null
Acne,Long Sleeve Top,Q3,2,460,93.74,90.74
Acne,Pullover Sweater,Q3,1,410,102.74,102.74
Acne,Scarf,Q1,1,153,null,null
Acne,Short Sleeve Blouse,Q2,2,475,100.74,null
Acne,Short Sleeve T-Shirt,Q2,1,115,35.74,35.74
Acne,Short Sleeve T-Shirt,Q3,1,200,41.74,null
Acne,Short Sleeve Top,Q3,1,275,null,null
Acne,Shorts,Q1,1,620,117.74,117.74
Acne,Shorts,Q3,1,510,66.74,null
Acne,Silk Cardigan,Q3,1,600,113.74,null
Acne,Silk Pants,Q2,1,500,60.74,60.74
Acne,Silk Skirt,Q3,1,540,124.74,124.74
Acne,Wool Pullover Sweater,Q2,1,480,124.74,null
Acne,Wool Pullover Sweater,Q3,1,900,108.74,null
Acne,Zip Up Hoodie,Q3,1,600,null,null
Acne Studios,3/4 Sleeve Silk Top,Q2,1,400,180.74,null
Acne Studios,3/4 Sleeve Top,Q2,1,600,84.74,84.74
Acne Studios,Active Pants,Q3,1,420,92.74,null
Acne Studios,Active T-Shirt,Q2,2,165,41.24,41.24
Acne Studios,Active Tank,Q2,1,190,39.74,39.74
Acne Studios,Ankle Boots,Q1,1,650,292.74,null
Acne Studios,Ankle Boots,Q2,7,665.71,152.74,159.74
Acne Studios,Ankle Boots,Q3,10,702,124.85,134.6
Acne Studios,Athletic Shorts,Q3,1,150,60.74,60.74
Acne Studios,Backpack,Q1,1,420,168.74,null
Acne Studios,Beanie,Q1,7,186.14,93.74,85.49
Acne Studios,Beanie,Q2,4,195,84.49,84.49
Acne Studios,Beanie,Q3,3,213.33,58.74,58.74
Acne Studios,Blazer,Q2,2,975,270.74,270.74
Acne Studios,Blazer,Q3,3,1100,215.24,149.87
Acne Studios,Bodysuit,Q2,1,255,79.74,null
