item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
210461909,A Bathing Ape,Active T-Shirt,Q1,198.0,142.74,142.74
210123731,A Bathing Ape,Short Sleeve T-Shirt,Q1,150.0,148.74,148.74
213761579,A Bathing Ape,Short Sleeve T-Shirt,Q1,150.0,100.74,100.74
213761579,A Bathing Ape,Short Sleeve T-Shirt,Q1,150.0,100.74,100.74
212245375,A Bathing Ape,Short Sleeve T-Shirt,Q2,99.0,76.74,76.74
208703262,A Bathing Ape,Short Sleeve T-Shirt,Q2,100.0,99.74,99.74
206989411,A Bathing Ape,Short Sleeve T-Shirt,Q2,125.0,123.74,123.74
210734131,A Bathing Ape,Short Sleeve T-Shirt,Q2,135.0,86.74,86.74
210289041,A Bathing Ape,Sweatshirt,Q2,275.0,148.74,148.74
206043483,A Bathing Ape,Sweatshirt,Q2,319.0,220.74,98.74
209032292,A Bathing Ape,Sweatshirt,Q3,200.0,65.74,65.74
206042226,A Bathing Ape,Zip Up Hoodie,Q1,535.0,267.74,139.74
208532355,A Bathing Ape,Zip Up Hoodie,Q2,275.0,198.74,0.0
214078753,A Bathing Ape,Zip Up Hoodie,Q3,500.0,245.74,158.74
212992765,A Bathing Ape,Zip Up Hoodie,Q3,429.0,111.74,111.74
215302128,A New Day,Casual Pants,Q2,40.0,8.74,8.74
210646054,ADER error,Denim Shorts,Q2,320.0,51.74,51.74
208581257,ADER error,Dress Pants,Q1,270.0,108.74,108.74
213205790,ADER error,Dress Pants,Q2,450.0,85.74,85.74
211006041,ADER error,Long Sleeve T-Shirt,Q1,230.0,160.74,160.74
209223026,ADER error,Sleeveless T-Shirt,Q2,130.0,39.74,39.74
210062820,ADER error,Sweatshirt,Q1,225.0,123.74,123.74
210170612,Aape by A Bathing Ape,Baseball Cap,Q2,55.0,35.74,35.74
206640146,Aape by A Bathing Ape,Jacket,Q3,300.0,123.74,123.74
207976302,Aape by A Bathing Ape,Pullover Hoodie,Q2,115.0,113.74,108.74
212580065,Aape by A Bathing Ape,Short Sleeve T-Shirt,Q1,70.0,69.74,69.74
211919560,Aape by A Bathing Ape,Short Sleeve T-Shirt,Q1,79.0,49.74,49.74
208623400,Aape by A Bathing Ape,Zip Up Hoodie,Q1,275.0,272.74,272.74
206975391,Aape by A Bathing Ape,Zip Up Hoodie,Q2,300.0,200.74,200.74
210448143,Aape by A Bathing Ape,Zip Up Hoodie,Q2,150.0,94.74,94.74
206640103,Aape by A Bathing Ape,Zip Up Hoodie,Q3,300.0,123.74,123.74
